row_index,parameter_profile,case_id,v_alpha_raw,v_beta_raw,vdc_raw,source_sector,oracle_sector,sector_match,sector_exception,source_t1_norm,oracle_t1_norm,t1_error,source_t2_norm,oracle_t2_norm,t2_error,source_duty_u_norm,oracle_duty_u_norm,duty_u_error,source_duty_v_norm,oracle_duty_v_norm,duty_v_error,source_duty_w_norm,oracle_duty_w_norm,duty_w_error
78,real_commissioning,reset_after_sat,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
79,real_commissioning,release,14295,-14295,1572864,2,2,1,0,0.00576213541666667,0.0057621193118393421173095703125,1.61048273278826904296875E-8,0.0157422630208333,0.015742219053208827972412109375,4.3967624472027587890625E-8,0.48924780078125,0.489247858524322509765625,5.7743072509765625E-8,0.51075219921875,0.510752141475677490234375,5.7743072509765625E-8,0.495009936197917,0.495009958744049072265625,2.2546132072265625E-8
80,MIL_PI_override,zero_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
81,MIL_PI_override,zero_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
82,MIL_PI_override,zero,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
83,MIL_PI_override,d_current_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
84,MIL_PI_override,d_current_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
85,MIL_PI_override,d_current,-142950,0,1572864,4,4,1,0,-0E+4,0,0,0.136328125,0.1363277435302734375,3.814697265625E-7,0.5681640625,0.56816387176513671875,1.9073486328125E-7,0.4318359375,0.43183612823486328125,1.9073486328125E-7,0.4318359375,0.43183612823486328125,1.9073486328125E-7
86,MIL_PI_override,q_current_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
87,MIL_PI_override,q_current_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
88,MIL_PI_override,q_current,0,-142950,1572864,6,6,1,0,0.0787067708333333,0.07870655064471065998077392578125,2.2018862264001922607421875E-7,0.0787067708333333,0.07870655064471065998077392578125,2.2018862264001922607421875E-7,0.5,0.5,0.0,0.578706770833333,0.578706562519073486328125,2.08314259513671875E-7,0.421293229166667,0.421293437480926513671875,2.08314259513671875E-7
89,MIL_PI_override,common_mode_reset1,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
90,MIL_PI_override,common_mode_reset2,0,0,1572864,2,2,1,0,0E+4,0,0,-0E+4,0,0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0
