# theta_u16 sin_raw cos_raw
1510 9442 64852
1511 9442 64852
1512 9467 64849
1513 9467 64849
1514 9467 64849
1515 9467 64849
1516 9492 64845
1517 9492 64845
1518 9492 64845
1519 9492 64845
1520 9517 64841
1521 9517 64841
1522 9517 64841
1523 9517 64841
1524 9542 64838
1525 9542 64838
1526 9542 64838
1527 9542 64838
1528 9566 64834
1529 9566 64834
1530 9566 64834
1531 9566 64834
1532 9591 64830
1533 9591 64830
1534 9591 64830
1535 9591 64830
1536 9616 64827
1537 9616 64827
1538 9616 64827
1539 9616 64827
1540 9641 64823
1541 9641 64823
1542 9641 64823
1543 9641 64823
1544 9666 64819
1545 9666 64819
1546 9666 64819
1547 9666 64819
1548 9691 64816
1549 9691 64816
1550 9691 64816
1551 9691 64816
1552 9716 64812
1553 9716 64812
1554 9716 64812
1555 9716 64812
1556 9740 64808
1557 9740 64808
1558 9740 64808
1559 9740 64808
1560 9765 64804
1561 9765 64804
1562 9765 64804
1563 9765 64804
1564 9790 64801
1565 9790 64801
1566 9790 64801
1567 9790 64801
1568 9815 64797
1569 9815 64797
1570 9815 64797
1571 9815 64797
1572 9840 64793
1573 9840 64793
1574 9840 64793
1575 9840 64793
1576 9865 64789
1577 9865 64789
1578 9865 64789
1579 9865 64789
1580 9890 64786
1581 9890 64786
1582 9890 64786
1583 9890 64786
1584 9914 64782
1585 9914 64782
1586 9914 64782
1587 9914 64782
1588 9939 64778
1589 9939 64778
1590 9939 64778
1591 9939 64778
1592 9964 64774
1593 9964 64774
1594 9964 64774
1595 9964 64774
1596 9989 64770
1597 9989 64770
1598 9989 64770
1599 9989 64770
1600 10014 64766
1601 10014 64766
1602 10014 64766
1603 10014 64766
1604 10039 64763
1605 10039 64763
1606 10039 64763
1607 10039 64763
1608 10063 64759
1609 10063 64759
1610 10063 64759
1611 10063 64759
1612 10088 64755
1613 10088 64755
1614 10088 64755
1615 10088 64755
1616 10113 64751
1617 10113 64751
1618 10113 64751
1619 10113 64751
1620 10138 64747
1621 10138 64747
1622 10138 64747
1623 10138 64747
1624 10163 64743
1625 10163 64743
1626 10163 64743
1627 10163 64743
1628 10188 64739
1629 10188 64739
1630 10188 64739
1631 10188 64739
1632 10212 64735
1633 10212 64735
1634 10212 64735
1635 10212 64735
1636 10237 64732
1637 10237 64732
1638 10237 64732
1639 10237 64732
1640 10262 64728
1641 10262 64728
1642 10262 64728
1643 10262 64728
1644 10287 64724
1645 10287 64724
1646 10287 64724
1647 10287 64724
1648 10312 64720
1649 10312 64720
1650 10312 64720
1651 10312 64720
1652 10336 64716
1653 10336 64716
1654 10336 64716
